,BOOKED
32954,0
12601,0
39376,0
19209,0
20283,0
49717,0
22548,0
28431,0
29040,1
27852,0
31153,1
2733,0
43664,0
29464,0
12086,0
13694,0
49890,0
18703,1
52471,1
33708,0
16229,0
45951,0
20198,1
11115,0
48730,0
6118,0
6308,0
21181,0
10253,0
3500,0
42523,0
27952,0
2877,0
52525,0
33449,0
37812,1
8294,0
37351,0
48732,0
4836,0
30913,0
2804,0
26886,0
8788,0
43156,0
53636,0
5587,0
34142,0
12892,0
11761,1
14624,0
27713,0
33556,0
54544,0
30149,0
39813,0
30957,0
23910,0
55020,0
1769,0
40575,0
1959,0
52734,1
507,0
37599,0
15626,0
51585,0
27297,0
14614,0
3535,0
37186,0
30533,0
48408,0
12457,0
42085,1
13534,1
19226,1
17752,1
4441,0
47001,0
3110,0
47105,1
51762,1
46856,0
21843,0
36694,0
42104,0
34853,0
48202,0
48227,1
21334,0
33165,0
18930,0
23991,0
16188,0
53221,0
48865,0
10469,0
49575,0
54100,0
23399,0
51249,0
18041,0
55012,0
29042,0
39430,0
5251,0
4516,0
50519,0
36589,0
46754,0
42168,1
32771,0
27093,0
42613,0
40779,0
11185,1
38556,0
37507,0
23927,0
15767,0
27617,0
24013,0
34876,0
51044,0
22668,0
34581,1
40468,0
31155,0
15177,0
40819,0
35948,0
6161,0
3147,0
4293,0
50121,1
18722,0
25424,0
4907,0
53173,1
42590,0
26268,0
32815,0
46402,1
51631,0
17580,0
50535,1
46844,0
17517,1
11476,0
10637,1
34932,0
44543,0
42458,0
17933,0
51881,0
47104,1
7886,1
28661,0
48514,1
2004,0
52219,1
34144,0
34130,0
35408,0
17476,0
42396,0
41330,0
29121,0
43311,0
45771,0
5130,0
22008,0
39339,0
39239,0
14360,0
52442,0
54912,0
23555,0
15095,0
35233,1
49386,0
51694,0
13519,0
36758,0
42724,0
50500,0
12437,0
44634,1
47814,0
17779,0
6243,0
38533,1
24307,0
22317,0
39490,0
46079,0
26040,0
20301,0
42358,0
16969,0
2466,0
15051,0
2607,0
4406,1
6042,0
45081,0
26293,0
53127,0
53289,0
28523,0
8460,0
43625,0
15138,0
35410,0
27302,1
13152,0
8824,1
20637,0
5575,0
37639,0
6258,0
2151,1
34064,0
43878,0
47789,0
6721,0
12179,0
43222,0
37222,0
21127,1
33257,1
8033,0
30017,0
53744,1
40398,1
36112,0
33117,0
24961,0
49849,0
9566,0
27849,0
1111,0
29600,0
468,0
40305,0
1347,1
10040,0
22616,0
12878,0
10742,0
27955,0
26021,0
14206,0
24664,0
12373,0
8934,1
6555,1
14565,0
40942,1
18038,1
46167,1
11988,0
45854,0
48960,0
4200,0
46532,0
37229,0
51550,0
52346,0
53000,1
23381,0
53808,0
30294,0
18100,1
53773,1
36423,0
11495,0
53388,0
8453,1
28396,0
19589,1
10776,0
31609,0
25190,0
40450,0
41697,1
21212,0
10718,1
3044,0
4032,1
35655,0
6275,0
47312,0
20612,0
39707,0
12971,0
6181,1
37501,0
6466,0
19776,0
26046,0
49023,0
38756,0
2784,0
18516,0
13834,0
34225,0
48991,0
35512,0
35730,0
42536,1
24775,0
29591,0
19729,0
34091,0
9968,0
41064,0
11601,0
35356,1
1424,1
2895,0
452,0
11457,0
14056,0
22347,0
24967,0
53909,0
54179,0
34665,0
39822,0
4877,0
1616,1
3108,0
37544,0
469,1
54832,0
18964,0
29289,0
5118,1
39861,0
18935,0
28609,1
54241,0
31649,0
31798,0
12646,0
48786,0
48911,1
29729,0
40971,1
22375,1
52357,0
18185,0
6409,0
8575,0
2076,0
51364,0
45605,0
47920,0
9547,0
48559,0
34039,0
20517,0
21742,0
40378,0
44503,0
17017,0
46661,0
11458,0
54196,0
55108,1
51345,0
27363,0
30484,0
49219,0
15308,1
2598,0
7329,0
24805,0
39175,0
26727,0
48336,0
47136,0
10834,0
40429,1
40089,0
13148,0
23985,0
27055,1
17836,0
8138,0
20185,0
4902,0
12747,0
9099,0
1224,0
15508,0
54868,0
39192,0
28446,0
41581,0
19817,0
26544,0
6950,0
20503,0
791,0
24417,0
34888,0
51995,0
44890,1
3319,0
42064,0
9122,0
45087,0
9050,0
15621,0
26332,0
28966,0
22073,0
29649,0
43207,0
45914,0
40271,0
35549,0
46308,0
6499,0
49088,0
12701,0
7245,0
45890,0
18519,0
8049,0
19119,0
23450,0
24785,0
33614,0
51358,0
13614,0
40146,0
17113,0
17849,0
2529,0
46997,1
13267,0
46199,0
11823,0
14749,0
38603,1
51298,0
24383,0
31190,0
10052,0
29706,0
8764,0
51541,0
10967,0
43130,0
54205,1
55224,0
29839,0
7741,0
24920,0
38959,1
34529,0
24704,0
17363,0
24150,0
16666,0
52043,0
3209,1
50128,1
47388,0
26869,0
14678,0
9578,0
32650,0
11063,1
21011,0
16823,0
35627,0
27415,0
38418,1
44024,0
4410,0
6870,1
53291,0
29528,0
19228,0
12982,0
15008,0
2764,1
4062,0
26909,0
26793,0
44930,1
43094,0
48748,1
30231,0
52156,1
45752,0
21877,0
7937,0
37249,0
30302,0
50662,0
25598,1
10141,0
7926,0
5095,0
25941,0
4474,0
13178,0
27456,1
26893,0
701,0
3003,0
51257,0
42550,0
12339,0
47161,0
35375,1
24603,0
53345,0
30111,0
8866,0
29288,0
36834,0
48495,0
52359,0
47033,0
13846,1
54195,0
11460,0
44737,1
34945,0
7847,1
14456,0
39592,0
38929,1
23368,0
521,1
49654,0
32294,0
4688,0
27749,0
44616,0
43033,0
42418,0
50284,0
33370,0
33976,0
17046,1
40044,0
18404,1
16299,0
45369,0
50870,1
26409,0
4778,0
54233,0
34131,0
39061,0
28111,1
39279,0
15298,0
28054,0
28357,1
5979,0
23275,0
3618,0
48436,1
7449,0
22756,1
30810,0
46423,1
32855,0
42160,0
42441,0
43471,0
42671,0
45904,0
50387,0
4544,1
31390,1
24285,0
39281,0
10044,0
1719,0
48535,1
53913,0
24604,0
10974,0
13265,0
42236,1
41999,0
30552,0
48821,0
34100,0
25919,0
21458,1
49691,0
43618,0
41834,0
51801,1
40285,0
47138,0
48693,0
42583,0
33655,1
1849,1
845,0
34002,1
33578,0
44122,0
33625,0
18948,0
43551,0
3885,0
9787,0
7053,0
7963,0
4503,0
37664,0
39884,0
25893,0
1948,0
12582,0
38870,0
13487,0
24278,0
38153,0
19362,1
7726,0
48078,0
50093,0
39285,0
54737,0
37280,0
43800,0
39000,0
41117,0
43015,0
2182,1
37065,0
21801,0
51268,0
22084,0
21292,1
22728,0
1296,0
19627,0
54153,1
48057,0
25765,0
28513,0
45092,0
54416,0
19860,0
12673,0
19143,0
205,1
24062,0
3234,0
29470,0
9440,0
19611,0
4026,0
31128,0
21330,0
44186,1
55115,0
18783,0
33903,0
36093,0
42527,0
25819,0
39651,0
42621,0
12581,0
46002,1
31283,0
49269,0
24207,0
16009,0
48772,0
30939,0
628,0
39645,0
51865,0
66,0
20286,0
48407,0
26150,0
15634,0
41424,0
39979,0
49218,0
16995,0
12383,0
36532,0
305,0
41297,0
37661,0
1802,0
32122,1
43048,0
15741,0
33806,0
47444,0
3190,0
23466,1
10244,0
16228,0
8700,1
46414,0
10231,0
49145,0
15578,1
34605,0
6471,0
19494,0
12352,1
37934,0
5160,0
9276,0
22918,0
10055,0
30697,0
6652,0
28914,0
17456,1
20233,0
3901,0
30033,0
49673,0
48121,0
4143,0
50577,0
20243,0
63,0
12129,0
34323,0
51806,0
12808,0
53677,0
1093,1
46784,0
32996,0
463,0
48729,0
14917,0
35979,0
48387,1
26815,0
10832,0
28328,0
54532,1
14063,0
52370,0
47947,0
4230,0
22447,0
46908,0
36469,0
29429,0
49792,0
52135,0
31506,0
50226,0
22545,0
53918,0
8292,0
45786,0
48637,1
46819,0
37796,0
44316,0
31689,0
26565,0
9913,1
49826,0
52164,1
46463,0
18526,1
2419,1
22932,0
40872,0
31559,1
50002,1
13782,0
13142,0
54518,0
6938,0
42972,0
46909,0
32949,0
21564,1
41641,0
15658,0
13785,0
53699,0
44953,0
17584,0
14721,1
55204,0
37692,0
25549,0
15108,1
13995,0
34081,0
38254,1
648,0
355,0
797,0
559,0
23936,0
31034,0
15606,0
33738,1
16669,0
45953,0
52903,0
47713,0
3261,0
4765,0
43605,0
49049,0
21304,1
25408,0
36770,0
51211,0
13238,0
18200,0
11073,0
3184,0
15688,0
49037,0
42213,0
28123,0
17569,0
48441,0
8580,0
23884,0
30528,1
28899,0
21273,0
45511,0
30627,1
1718,0
44450,1
18426,1
24586,1
14014,0
52782,0
3707,0
51591,0
15577,0
5731,0
53777,0
52843,0
4184,0
5237,0
44827,1
34095,0
6968,1
37015,1
4373,0
4350,0
55123,0
35798,0
39906,0
42108,0
30034,0
17125,0
21840,0
40841,0
13067,0
21823,0
1417,0
2495,0
12324,0
27542,0
21666,0
48216,0
14890,0
21861,0
16374,1
27423,0
44926,1
45896,0
46655,1
44022,0
10266,0
22010,0
37592,0
13768,1
43673,0
2792,0
20029,0
5263,0
43150,1
14344,0
20427,1
50849,0
17247,0
30770,0
26677,0
29095,0
29895,1
37859,0
43106,0
35919,0
6597,0
49760,0
7527,1
15860,0
30551,0
4594,0
21041,0
16791,0
11397,0
6832,0
28023,1
40746,0
8730,0
41172,0
28327,0
48097,0
37279,0
53833,0
16320,0
3838,1
10336,0
45536,0
38673,0
4229,0
34472,0
1957,1
52457,1
25541,0
11606,0
37104,1
30689,1
35021,0
33698,0
37568,0
29419,0
51324,0
684,1
38388,0
8465,0
38429,0
35420,0
48798,0
14752,1
6449,1
51304,0
6128,0
37389,1
43888,0
35920,0
45332,0
12224,0
18629,0
51558,0
30681,0
11713,0
16388,0
10051,0
16011,1
17693,0
23383,0
35653,0
49054,0
11004,0
29690,0
53459,0
39185,0
4593,0
38642,1
38565,0
17161,0
8591,0
2400,1
34099,0
28410,0
47171,0
21917,0
38073,0
32913,0
19914,0
12172,1
10791,0
23382,0
54251,1
38098,0
47111,0
33020,0
40110,0
37499,0
12272,0
42408,0
32843,0
48696,0
22667,0
47004,0
40922,0
4763,0
37989,0
48775,0
54461,1
23205,0
1611,1
39761,0
41032,1
46629,0
39510,0
2437,0
30805,1
33633,0
1333,0
29119,0
54530,0
26876,0
33669,0
26027,0
4806,1
5904,0
730,1
34159,0
36928,0
13574,0
54210,1
8754,0
38519,0
4671,0
31573,0
19936,0
13663,0
29452,0
49769,0
5333,0
24135,0
41921,0
18756,1
1003,0
4136,0
8800,0
34351,0
15687,0
35159,0
18186,0
14872,0
32165,0
43403,0
21059,1
28169,0
26247,0
52710,0
15457,0
36202,0
23056,1
18878,1
37554,0
52906,0
23124,0
28380,0
35387,0
12334,0
22804,0
36232,0
43725,0
1372,0
5307,0
30307,0
8818,0
1746,0
49335,0
26995,0
4478,1
36354,0
43239,0
26777,1
19572,0
24237,0
27816,0
48664,0
27576,0
18710,0
25489,0
2502,1
38704,0
44835,0
48254,0
54024,0
117,0
14289,0
24859,1
43823,0
6765,0
19235,0
12171,0
19266,0
20282,0
47937,0
9277,0
9246,0
30918,0
26420,1
50533,1
27348,1
49892,0
27280,0
19179,0
43815,0
18881,0
36787,0
8961,1
37273,0
5955,0
8745,0
54400,0
13260,0
4203,1
36429,0
32439,0
3102,0
43918,0
28246,0
21514,0
2787,0
1406,0
18693,0
4091,0
14356,0
8457,0
37967,0
29736,0
6356,1
36470,0
25142,0
13783,0
12191,0
16580,0
1282,0
35349,1
47810,0
37690,0
46681,0
7133,0
50090,0
24861,0
27046,0
29797,0
38321,1
21360,0
27350,0
53670,0
19417,0
6290,0
51608,0
21135,0
41894,0
757,0
52019,0
27182,0
33955,0
50898,0
49344,0
44893,0
9989,0
2163,1
24226,0
52129,0
43087,0
17980,0
29920,0
23379,1
50613,0
47343,0
12494,0
43514,0
46836,0
11036,0
23323,1
40407,0
35509,0
38134,1
33824,0
17373,1
34058,0
20435,1
25821,0
10754,0
47543,0
15238,0
49101,0
47584,0
23062,0
770,1
37327,0
30288,0
192,0
15971,0
45500,0
49491,0
23621,1
37571,0
36443,0
42066,1
23192,0
52780,0
23616,0
45921,0
5891,0
32217,0
53747,0
11220,0
7759,0
47541,0
32371,0
9758,1
44527,0
15791,0
5758,0
47245,0
43030,0
3976,0
21062,0
17576,0
6666,0
43564,0
40283,0
33994,0
29914,1
42186,0
13696,0
4762,0
44963,0
22886,0
29727,0
37695,0
9967,0
22048,0
21613,0
27411,0
6199,1
26905,0
47051,0
15292,0
421,0
29522,1
22648,0
6156,0
9174,0
23448,0
17567,0
52006,0
40715,0
44707,0
39955,1
44897,0
21482,0
42881,0
32138,1
50045,0
19108,0
7241,1
32521,0
45150,0
41668,0
4085,0
37257,0
41724,1
15564,0
11065,0
5738,0
49141,0
49294,1
25552,0
17605,1
13622,0
32578,0
43558,0
27045,0
52534,0
50750,0
38119,0
18475,0
16877,1
36794,0
48692,0
28426,1
18679,1
40094,0
37778,0
44577,1
36430,0
44839,0
9182,0
5759,0
24943,0
10235,0
25411,0
22633,0
29655,0
42685,0
13211,1
29489,0
21855,1
14343,0
12658,0
27725,0
44547,0
17910,0
41543,0
54265,0
32608,1
36569,0
28493,0
8491,0
15256,0
44491,0
52931,0
16743,0
11166,0
13437,0
28780,0
43619,1
49802,0
8852,0
39820,0
34089,0
9957,0
7398,0
16821,0
45014,0
21056,0
39123,1
21067,0
46861,0
6319,0
45792,0
52377,1
49880,0
1036,0
52054,0
8117,1
30639,1
4483,0
41175,1
21039,0
5499,0
51567,1
25857,0
39680,1
10010,0
33920,0
3389,0
45597,0
34384,0
16979,0
38099,0
20996,0
24948,0
43516,1
49100,1
34236,0
14158,1
22847,0
49829,0
24840,0
51339,0
53234,0
47596,0
43290,0
373,1
20413,0
13166,0
45549,0
11659,0
52224,1
54101,0
54865,0
36376,0
52975,0
23499,0
17351,0
17666,0
34912,0
54421,0
8141,0
30974,0
14461,0
44230,0
16850,0
1573,0
33161,0
5429,1
15893,0
51968,0
29673,0
22022,0
50735,0
10652,0
16343,0
7630,0
50739,0
7257,0
54618,0
7145,0
8275,0
25083,0
48438,0
19161,0
48574,1
11719,0
43389,0
5088,0
1078,1
39882,0
55109,0
25283,0
30545,0
17589,0
10604,0
20875,0
53119,0
10175,1
54346,0
16918,0
6215,0
2653,0
29601,0
38416,0
47300,1
37312,0
34046,0
40607,0
23750,0
29581,0
21928,0
39772,0
25946,1
41052,0
54585,0
25440,0
21909,0
31988,0
7054,1
44444,0
38755,0
34874,0
24545,0
41926,0
21380,0
45228,1
26591,0
51832,0
45058,0
51060,0
7271,0
6374,0
34752,0
33152,0
32613,1
6400,0
16634,1
39120,0
3093,0
53621,0
1255,1
26857,0
26044,0
13491,0
19113,0
15272,0
43606,0
25014,0
14227,0
20821,1
18132,1
11103,1
42487,0
29259,1
4666,0
33122,0
39683,0
38412,0
54834,0
11167,0
5811,0
17541,0
49710,0
6232,0
38487,0
43553,0
1123,0
38019,0
31970,0
35824,1
34077,0
12014,0
45336,0
49793,0
36465,0
16236,0
19251,0
20982,0
41265,0
47369,0
30674,0
52523,0
391,0
51634,0
42331,0
33089,0
32831,1
29846,0
35791,1
3431,0
54352,0
19831,0
39774,0
29798,0
41216,0
45877,0
11727,0
34432,0
9804,0
8448,0
41144,1
32182,0
35976,0
26987,1
55221,0
16432,0
19070,0
29491,0
49015,0
16158,0
43451,0
54628,0
13053,0
23731,0
19755,0
26664,0
27336,0
5872,1
4232,0
23119,0
33440,0
41213,0
8220,0
23668,0
37195,0
4001,0
35284,1
35623,1
50990,0
4739,0
35310,0
33087,0
43095,1
9468,0
51460,1
1351,0
15360,0
23501,0
19429,0
37127,0
9684,0
14988,0
45140,0
27163,0
43682,0
18003,0
13054,0
32977,0
15075,0
31179,1
27050,0
2552,1
9442,0
36803,0
52323,1
34552,0
44180,0
46156,1
41591,1
19834,0
19970,0
48554,0
15235,1
32403,0
46668,0
14005,0
9368,1
8820,0
2471,0
4005,0
44730,0
50885,0
31037,0
11252,0
23595,0
8296,0
46026,0
9713,0
21154,1
2961,0
47966,1
1954,0
54523,0
26201,0
39987,0
36859,0
21423,0
29237,0
49499,0
51092,0
33442,1
26686,0
50103,0
42471,1
27167,0
16469,1
51210,0
15739,0
5138,1
1167,0
42852,0
34006,0
17264,0
15445,0
1574,0
4395,0
49928,0
50829,1
5676,0
9593,0
10069,0
31294,0
47602,0
14888,0
40438,0
18578,0
23259,0
37720,0
47295,0
40929,0
9598,1
52733,0
4325,0
41689,0
30130,0
14750,0
15806,0
7463,0
13324,0
42349,0
37608,0
3221,0
34109,0
15544,0
31452,0
19010,0
19919,0
28078,0
4114,0
32991,0
20802,0
1977,0
37619,0
22604,0
47010,0
8160,0
31222,1
50514,0
19040,0
40410,0
13123,1
21998,0
25601,0
3596,0
45452,0
46243,1
36779,0
34436,0
24252,0
35442,0
44271,0
9244,0
52473,0
46163,0
39829,1
48113,0
41707,1
27988,0
47829,0
20545,0
19349,0
16709,0
9387,0
3986,0
22700,0
35709,0
31355,1
12154,0
43193,0
34341,0
53296,0
7957,0
12771,0
419,0
28177,0
27466,0
41108,0
18157,0
1696,0
36072,0
1810,0
16685,0
18156,0
11289,1
36595,0
49175,0
44575,0
19942,0
46531,1
46593,1
43610,0
4295,0
36558,1
30677,0
22492,0
18378,0
23574,0
53010,0
33004,0
51643,0
28727,0
23051,0
29709,1
19359,0
25743,0
41613,0
50794,0
48247,1
27969,0
40490,1
4099,0
35333,0
29626,1
41301,0
44758,1
20306,0
48105,1
47517,1
13175,0
38185,0
49992,0
50835,0
29472,0
49784,0
18553,1
38564,1
39421,0
52730,0
2225,0
45895,0
26997,1
50984,1
55189,1
4630,0
12790,1
38448,0
7993,0
32167,1
17963,0
33320,0
10218,1
26380,0
5554,0
39367,0
44415,0
36172,1
46899,0
33188,0
38846,0
43702,0
34096,0
21854,0
14080,0
28263,0
51105,0
1578,1
2666,1
22327,0
45237,0
52865,1
11352,1
44261,0
15207,1
10539,0
5458,0
54890,0
8,1
23862,0
51944,0
52157,1
18910,0
28239,0
21940,0
23807,0
28232,0
8444,0
2036,1
10367,1
53964,0
18096,0
130,0
24224,0
24228,0
23529,1
1816,0
35286,0
9235,0
31463,0
7745,0
5254,0
7620,0
1591,0
17633,0
30196,0
52629,0
41904,0
21559,0
21978,0
22365,0
23296,0
27519,0
14692,0
31955,1
9966,0
35142,0
46216,1
41439,1
46502,1
34128,1
42916,0
39439,0
47186,1
3802,0
47190,0
47091,1
21555,0
29963,0
35008,1
21549,0
12821,0
36581,0
23080,1
30145,0
42296,0
3032,0
40824,0
8853,0
52752,0
24826,1
13573,1
11510,0
51281,0
18371,0
46986,0
52214,0
42715,0
53749,0
9513,0
33268,0
51816,0
11526,1
45563,0
23755,0
30925,0
26149,0
42763,1
9178,0
28299,0
53377,0
45397,0
13363,0
23860,0
25938,1
9413,1
29860,0
28789,0
2807,0
49574,0
4341,0
28733,0
42322,0
29965,0
36319,0
27553,0
36527,0
54116,0
22211,0
44494,1
47514,0
41400,1
49868,0
24148,0
47137,0
43754,0
54886,1
13704,0
46324,0
1971,0
3237,0
47365,0
54790,1
23014,0
47626,1
29063,1
28086,0
34462,0
22574,0
46859,0
16067,0
45721,1
9584,0
1668,0
18280,0
45974,0
35497,0
22256,0
7888,0
52634,0
20816,0
45378,0
18527,0
40686,0
53948,0
9760,0
47470,0
44210,0
9505,0
25145,0
20226,1
5301,0
13406,0
37487,0
21812,0
49800,0
41710,0
22790,0
44133,0
25989,0
34399,0
18296,1
49627,0
27669,0
3204,0
34873,0
30971,0
6029,1
4977,0
43730,0
8452,0
14129,0
6010,0
18176,0
39063,0
49742,0
39580,0
13878,0
38746,0
32128,0
45543,1
54174,0
38858,0
10372,1
51935,0
26732,0
22670,0
25926,0
6995,0
50950,1
28649,0
46557,0
26097,0
12304,0
32201,0
48998,0
36271,0
30637,0
12527,0
15031,0
53869,0
19662,1
31247,1
23968,0
1328,0
35227,0
15978,0
52951,0
21144,0
25848,0
18524,0
29909,0
25885,1
6501,0
8676,0
23369,1
43065,0
40985,0
49632,0
35166,0
24489,1
34711,0
54438,0
9799,0
38391,0
50401,0
44883,0
31057,0
40015,1
43722,0
37286,1
9226,0
52301,0
50980,0
27444,0
45095,0
36214,1
3104,0
17970,0
11111,1
29604,0
41786,0
17536,0
50822,0
54914,0
44337,0
18044,0
39098,0
7921,0
45437,0
41890,0
50221,0
33435,1
43604,0
10187,0
11753,0
49785,0
35874,0
36656,0
38279,0
24842,0
35367,1
41193,0
46329,0
43455,0
25696,0
37781,0
18418,0
46043,0
13646,0
49578,0
50610,0
4446,0
25824,0
24578,0
19124,0
41242,0
10953,0
30322,0
30446,0
48146,0
3201,0
53742,1
1670,0
51106,0
46267,0
37629,0
9999,0
10176,0
22269,0
31726,0
7138,0
30373,0
37500,1
20477,0
36783,0
16893,0
9543,1
30735,0
22564,0
12960,0
18054,0
15844,0
13134,0
34025,0
27047,0
16503,0
22684,1
3342,0
27684,0
51900,0
2048,0
6991,0
51578,0
1040,0
28262,0
53908,0
3178,0
15804,0
17751,0
2029,0
6244,0
7320,0
15772,0
20484,0
52603,0
26511,1
7722,0
28040,0
24055,0
20716,0
10276,0
47896,0
41700,0
22976,1
4965,0
14639,0
33308,1
4322,0
39035,0
44770,0
9802,0
1939,0
3828,1
28521,0
6984,0
32985,0
37152,0
32565,0
23849,1
52864,0
49601,0
5631,0
2404,0
39087,0
43495,0
50419,0
12302,0
38501,0
35628,0
24462,1
34336,1
7645,0
32522,0
13259,0
8017,0
11865,0
43805,0
21162,0
29245,0
582,0
25112,0
27004,1
21736,0
20913,0
26177,0
17882,0
5170,0
13356,0
46490,1
39806,0
21129,1
48038,0
47783,0
15669,0
36524,1
5682,0
32200,1
27762,0
38152,0
42127,0
38586,0
25817,0
8260,0
7874,0
45685,1
12309,0
26059,0
36729,1
52577,0
18792,0
23631,1
26509,0
20398,0
29455,0
28712,0
15630,0
34899,0
5469,0
27386,1
50722,0
35757,0
46279,1
28202,0
40387,1
6872,0
12198,0
52480,0
24136,0
18397,0
13191,0
18926,0
16416,0
19952,0
17671,0
1707,0
20224,0
37081,0
37898,0
53260,0
22998,0
41134,1
12093,0
5496,1
26853,0
1487,1
11306,0
3171,0
25491,0
14726,0
418,1
17014,0
4465,0
11735,1
7581,1
31205,0
19719,0
43612,1
10393,1
47908,1
28031,0
7665,0
52825,0
39836,0
46614,0
21282,0
40357,0
5926,0
21128,0
33363,0
14772,0
20434,0
20263,0
36485,0
20877,0
18793,0
53471,0
21,0
35898,0
13506,0
2765,0
43775,1
31424,1
42401,0
27971,0
12209,1
20290,1
10112,0
37816,0
9749,0
50473,0
4869,1
27124,1
54010,0
51593,0
27974,0
21945,0
43413,0
29292,1
22174,0
39014,0
52610,0
8055,0
20727,1
22293,0
18212,0
52992,0
20602,0
29622,0
9356,0
52194,0
20613,0
52642,0
44069,0
52383,1
33907,0
32321,0
44793,0
27138,1
52964,1
32258,0
24098,0
14963,0
2431,0
28131,1
38038,0
12584,0
21063,1
5084,0
22510,1
51716,0
50405,0
30246,0
52793,0
46034,0
38948,0
11459,1
42593,0
11364,0
5942,0
257,0
55166,1
12504,0
25317,1
32719,0
41018,0
43440,0
3745,0
18250,0
34198,1
5339,0
53477,0
3058,0
954,0
8418,0
12317,0
13089,0
35196,0
10976,1
4939,0
52475,0
31802,0
49838,0
45777,0
48681,1
740,0
41607,0
53348,0
47600,1
41177,0
9410,0
39897,0
29949,0
33452,0
21030,1
29267,0
47547,1
32545,0
12561,0
39877,0
24035,1
15218,0
20335,0
15126,0
22828,0
37393,1
41427,0
51299,0
50287,0
4300,0
8177,0
45789,0
49300,0
35935,0
50856,0
23627,0
22380,1
23914,1
8172,1
27985,0
6421,0
50465,0
32721,0
23626,0
29954,0
44366,0
8775,0
6459,0
33587,0
47695,1
36597,0
19654,0
29700,0
37536,0
26679,0
36713,0
26567,1
38319,1
17198,0
45117,0
6383,0
27729,0
16073,0
40550,0
53281,0
10083,0
40322,0
3513,0
6560,0
2870,0
4088,1
11864,0
27048,0
5827,0
21632,0
13130,0
17614,0
7359,1
36808,0
40327,0
20627,1
43269,0
35060,0
33986,0
51391,0
34760,0
26208,1
21314,0
5318,0
33636,0
52623,0
33021,0
35082,0
8036,0
38784,1
53672,0
48936,1
16113,1
13057,0
20334,0
37489,0
37310,1
25315,0
5260,1
21491,0
31103,0
35536,0
35298,0
55197,0
18244,0
45892,0
1681,0
2457,0
42816,0
54139,0
10673,0
38227,0
4084,0
39494,0
27177,0
28933,0
15251,1
29845,0
45313,0
32145,0
3712,1
25804,0
21722,0
2374,0
3465,1
33594,0
6497,0
46809,0
47959,0
